horizon,date,MAE,RMSE,WAPE_percent,variant
8,2016-04-04,1.463477778573107,2.873721860826421,64.25351566787518,DEMAND_PRODUCT_ONLY
9,2016-04-05,1.3676832080581345,2.724468950481623,72.49578642491845,DEMAND_PRODUCT_ONLY
10,2016-04-06,1.3331558098192648,2.4185342993663332,71.00611188696381,DEMAND_PRODUCT_ONLY
11,2016-04-07,1.3393713355558732,2.503917659176758,78.55822894668529,DEMAND_PRODUCT_ONLY
12,2016-04-08,1.3929766553103964,2.441096703207206,63.72834936902386,DEMAND_PRODUCT_ONLY
13,2016-04-09,1.5505624029826064,2.5841467030154166,54.705577537098094,DEMAND_PRODUCT_ONLY
14,2016-04-10,1.7530808667343651,3.5382059378459254,62.03342047518549,DEMAND_PRODUCT_ONLY
15,2016-04-11,1.4839481956466596,2.8412949217766394,74.14581213992524,DEMAND_PRODUCT_ONLY
16,2016-04-12,1.3842926349803752,2.765828510201048,83.86292227937602,DEMAND_PRODUCT_ONLY
17,2016-04-13,1.3575995053049137,2.521027136074209,83.33492050931913,DEMAND_PRODUCT_ONLY
18,2016-04-14,1.3348407660212878,2.2178429935925843,79.23032551724867,DEMAND_PRODUCT_ONLY
19,2016-04-15,1.307032295171461,2.077499981781811,69.40892121808535,DEMAND_PRODUCT_ONLY
20,2016-04-16,1.5184241049593605,2.5228776349784026,62.682431451496726,DEMAND_PRODUCT_ONLY
21,2016-04-17,1.7069876797829586,3.0153537880463017,61.262270126076714,DEMAND_PRODUCT_ONLY
22,2016-04-18,1.4249042004155494,2.832695650931228,70.9489721412732,DEMAND_PRODUCT_ONLY
23,2016-04-19,1.3577536042868312,2.2799031072812945,78.4200936238013,DEMAND_PRODUCT_ONLY
24,2016-04-20,1.3496663186817592,2.3943711059375135,77.89038152392321,DEMAND_PRODUCT_ONLY
25,2016-04-21,1.3278688869782398,2.2426988453394405,75.33152746102371,DEMAND_PRODUCT_ONLY
26,2016-04-22,1.4231310793532903,2.3789080189231386,69.08916760238777,DEMAND_PRODUCT_ONLY
27,2016-04-23,1.5694390992375893,2.7096252853291865,61.7040762135271,DEMAND_PRODUCT_ONLY
28,2016-04-24,1.78257251839763,3.244254870604725,63.2014978765703,DEMAND_PRODUCT_ONLY
